Date,Count,Total
February 2018,2,2
March 2018,1,3
April 2018,1,4
May 2018,1,5
June 2018,1,6
July 2018,0,6
August 2018,0,6
September 2018,0,6
October 2018,0,6
November 2018,3,9
December 2018,0,9
January 2019,1,10
February 2019,1,11
March 2019,9,20
April 2019,9,29
May 2019,17,46
June 2019,39,85
July 2019,61,146
August 2019,22,166
September 2019,13,179
October 2019,18,197
November 2019,43,240
December 2019,19,259
January 2020,20,279
February 2020,57,336
March 2020,9,345
April 2020,52,397
May 2020,20,417
June 2020,14,431
July 2020,25,457
August 2020,34,491
September 2020,21,512
October 2020,19,531
November 2020,35,566
December 2020,26,592
January 2021,28,620
February 2021,24,644
March 2021,35,679
April 2021,28,707
May 2021,24,731
June 2021,11,742
July 2021,33,775
August 2021,18,793
September 2021,29,821
October 2021,22,843
November 2021,21,864
December 2021,29,893
January 2022,34,927
February 2022,35,962
March 2022,39,1001
April 2022,46,1047
May 2022,32,1079
June 2022,83,1165
July 2022,48,1214
August 2022,60,1275
September 2022,33,1307
October 2022,60,1367
November 2022,85,1452
December 2022,44,1498
January 2023,48,1546
February 2023,24,1570
March 2023,87,1657
April 2023,53,1710
May 2023,44,1754
June 2023,71,1825
July 2023,50,1876
August 2023,56,1932
September 2023,55,1987
October 2023,110,2097
November 2023,92,2189
December 2023,42,2231
January 2024,58,2290
February 2024,41,2331
March 2024,53,2385
April 2024,69,2454
May 2024,86,2540
June 2024,61,2601
July 2024,86,2687
August 2024,77,2764
September 2024,73,2837
October 2024,90,2928
November 2024,77,3005
December 2024,45,3050
January 2025,45,3095
February 2025,52,3146
March 2025,68,3214
April 2025,44,3258
May 2025,52,3310
